algorithm,dataset,n,runtime_seconds,memory_mb,sse,silhouette_score
Hierarchical,Synthetic,200,0.0172,0.4505,364.4733,0.8467
Hierarchical,Synthetic,500,0.0064,0.4714,955.6493,0.8438
Hierarchical,Synthetic,1000,0.0237,0.151,1950.8815,0.8436
Hierarchical,Synthetic,2000,0.1008,0.0013,3972.6166,0.8417
Hierarchical,Synthetic,5000,0.8278,0.0169,10059.1708,0.8416
