algorithm,dataset,n,eps,min_samples,runtime_seconds,memory_mb,num_clusters,noise_points,silhouette_score
DBSCAN,Synthetic,200,0.5,5,0.0025,0.0258,5.0,64.0,0.6139
DBSCAN,Synthetic,500,0.5,5,0.0033,0.0145,4.0,49.0,0.6721
DBSCAN,Synthetic,1000,0.5,5,0.0065,0.0344,3.0,35.0,0.8522
DBSCAN,Synthetic,2000,0.5,5,0.015,0.1035,4.0,38.0,0.6728
DBSCAN,Synthetic,5000,0.5,5,0.0535,0.2336,3.0,35.0,0.844
